"country"|"preschool.population"|"preschool.anaemia.proportion"|"preschool.anaemia.population"|"pregnant.population"|"pregnant.anaemia.proportion"|"pregnant.anaemia.population"|"women.other.population"|"women.other.anaemia.proportion"|"women.other.anaemia.population"|"women.children.anaemia.proportion"
"Afghanistan"|5732|37.9|2172|1567|61|956|6645|24.7|1254|31.4
"Albania"|252|31|78|54|34|18|831|21.1|164|22.9
"Algeria"|3218|42.5|1369|712|42.8|305|9524|31.4|2770|33.0
"Andorra"|4|12|0|1|15.5|0|17|16.2|3|13.6
"Angola"|3058|29.7|908|811|57.1|463|3764|52.3|1544|38.2
"Antigua and Barbuda"|8|49.4|4|2|29.5|1|22|26.5|5|31.3
"Argentina"|3346|18.1|605|696|25.4|177|9828|18|1647|17.5
"Armenia"|162|23.9|39|37|12|4|885|12.4|105|13.7
"Australia"|1252|8|101|254|12.4|32|5114|14.7|714|12.8
"Austria"|379|10.5|40|72|15.5|11|1993|14.8|283|13.7
"Azerbaijan"|604|31.8|192|141|38.4|54|2551|40.2|969|36.9
"Bahamas"|30|21.9|7|6|23.3|1|91|22.7|19|21.3
"Bahrain"|64|24.7|16|12|27.7|3|185|51.3|88|41.0
"Bangladesh"|17491|47|8221|3759|47|1767|37148|33.2|11085|36.1
"Barbados"|16|17.1|3|3|23|1|76|17.2|13|17.9
"Belarus"|452|27.4|124|92|25.8|24|2643|19.4|496|20.2
"Belgium"|559|8.7|48|108|12.9|14|2421|13.5|313|12.1
"Belize"|34|35.9|12|7|51.7|4|72|31.2|20|31.9
"Benin"|1478|81.9|1210|366|72.7|266|1988|63.2|1025|65.3
"Bhutan"|297|80.6|239|66|49.6|33|533|54.8|256|58.9
"Bolivia"|1243|51.6|641|263|37|97|2308|32.9|673|37.0
"Bosnia and Herzegovina"|182|26.8|49|36|34.8|13|1001|21.3|206|22.0
"Botswana"|215|38|82|44|21.3|9|455|32.7|135|31.7
"Brazil"|18074|54.9|9923|3697|29.1|1077|52301|23.1|11213|30.0
"Brunei Darussalam"|40|24.2|10|8|38.9|3|110|20.4|21|21.5
"Bulgaria"|334|26.7|89|64|29.7|19|1872|17.7|319|18.8
"Burkina Faso"|2527|91.5|2313|655|68.3|448|3038|52|1239|64.3
"Burundi"|1394|56|780|395|47.1|186|1856|28|409|37.7
"Cambodia"|1869|63.4|1185|444|66.4|295|3795|57.3|1920|55.7
"Cameroon"|2465|68.3|1684|562|50.9|286|4009|44.3|1527|49.7
"Canada"|1691|7.6|129|327|11.5|38|8166|14.3|1122|12.7
"Cape Verde"|73|39.7|29|16|41.3|6|137|32.5|39|32.7
"Central African Republic"|644|84.2|542|151|54.8|83|953|49.8|399|58.6
"Chad"|1927|71.1|1370|508|60.4|307|2202|52.4|888|55.3
"Chile"|1233|24.4|301|251|28.3|71|4422|4.8|200|9.7
"China"|83929|20|16786|17566|28.9|5076|365828|19.9|69304|19.5
"Colombia"|4718|27.7|1307|962|31.1|299|12541|23.6|2729|23.8
"Comoros"|129|65.4|84|28|55|16|200|47.8|82|51.0
"Congo"|773|66.4|513|190|55.3|105|906|52.8|378|53.3
"Cook Islands"|2|24.7|0|0|27.2|0|4|18.2|1|16.7
"Costa Rica"|393|20.9|82|80|27.9|22|1195|18.9|211|18.9
"Cote d’Ivoire"|2794|69|1928|670|55.1|369|4307|47.4|1725|51.8
"Croatia"|205|23.4|48|41|28.4|12|1090|17.5|183|18.2
"Cuba"|674|26.7|180|129|39.1|51|3046|19.5|570|20.8
"Cyprus"|49|18.6|9|10|25.2|3|224|19.6|42|19.1
"Czech Republic"|455|18.4|84|91|22.3|20|2503|16.9|408|16.8
"Democratic People’s Republic of Korea"|1682|31.7|533|326|34.7|113|6145|34.7|2019|32.7
"Democratic Republic of Congo"|11602|70.6|8191|3094|67.3|2082|13096|52.8|5281|56.0
"Denmark"|322|9|29|60|12.4|7|1239|14.3|168|12.6
"Djibouti"|121|65.8|79|27|56.2|15|195|46.4|78|50.1
"Dominica"|7|34.4|3|2|35.1|1|21|23.7|5|30.0
"Dominican Republic"|1008|34.6|349|211|39.9|84|2447|27.1|607|28.4
"Ecuador"|1440|37.9|546|292|37.8|110|3486|29.2|931|30.4
"Egypt"|9054|29.9|2707|1939|45.4|880|19480|27.6|4841|27.7
"El Salvador"|805|18.4|148|165|10.5|17|1865|26.8|455|21.9
"Equatorial Guinea"|91|40.8|37|23|41.7|10|114|38.4|35|36.0
"Eritrea"|782|69.6|544|180|55.3|100|1081|52.1|469|54.5
"Estonia"|66|23.4|15|14|22.7|3|337|17.7|57|18.0
"Ethiopia"|13269|75.2|9979|3201|62.7|2006|18358|52.3|7927|57.2
"Fiji"|91|39.1|36|19|55.6|10|224|31.8|65|33.2
"Finland"|278|11.5|32|55|15|8|1174|15.3|171|14.0
"France"|3723|8.3|310|731|11.5|84|14086|9.1|1215|8.7
"Gabon"|193|44.5|86|41|46.2|19|343|36.7|111|37.4
"Gambia"|233|79.4|185|52|75.1|39|377|59.1|192|62.8
"Georgia"|237|40.6|96|47|41.6|19|1194|22.7|260|25.4
"Germany"|3489|7.8|273|671|12.3|83|19505|12.3|2322|11.3
"Ghana"|3128|76.1|2380|688|64.9|447|5558|43.1|2099|52.5
"Greece"|511|12.1|62|100|18.6|19|2723|14.6|384|13.9
"Grenada"|10|32|3|6|31.4|2|28|24|5|22.7
"Guatemala"|2049|38.1|781|447|22.1|99|3103|20.2|537|25.3
"Guinea"|1615|79|1276|396|63.2|250|2110|50.4|864|58.0
"Guinea-Bissau"|320|74.9|240|85|57.7|49|356|52.9|143|56.8
"Guyana"|73|47.9|35|14|52|7|217|53.9|109|49.7
"Haiti"|1156|65.3|755|257|63.2|162|2252|54.4|1086|54.7
"Honduras"|984|29.9|294|209|32.4|68|1838|14.7|239|19.8
"Hungary"|474|18.8|89|92|20.7|19|2433|16.6|388|16.5
"Iceland"|21|7.8|2|4|11.8|0|74|14.1|10|12.1
"India"|119906|74.3|89090|25753|49.7|12799|284397|52|134495|55.0
"Indonesia"|21598|44.5|9608|4399|44.3|1950|62530|33.1|19240|34.8
"Iran (Islamic Republic of)"|6204|35|2174|1447|40.5|586|20354|33|6239|32.1
"Iraq"|4364|55.9|2440|987|38.2|377|7263|45.3|2842|44.9
"Ireland"|310|10.3|32|66|14.8|10|1117|17.5|183|15.1
"Israel"|669|11.8|79|134|17.4|23|1650|18.6|282|15.7
"Italy"|2658|10.9|291|516|15.5|80|13479|14.4|1868|13.4
"Jamaica"|254|48.2|123|51|40.7|21|709|23.8|157|29.7
"Japan"|5840|10.6|617|1146|14.8|170|28009|21.3|5722|18.6
"Jordan"|732|28.3|207|151|38.7|58|1474|28.6|378|27.3
"Kazakhstan"|1073|36.3|390|238|26|62|4243|35.5|1422|33.7
"Kenya"|5927|69|4089|1447|55.1|797|8454|46.4|3251|51.4
"Kiribati"|12|41.9|5|2|38.4|1|26|30.7|7|32.5
"Kuwait"|247|32.4|80|54|31.3|17|690|28.7|183|28.3
"Kyrgyzstan"|543|49.8|270|116|34.1|40|1456|38|509|38.7
"Lao People’s Democratic Republic"|906|48.2|437|208|56.4|117|1480|46.1|587|44.0
"Latvia"|102|26.7|27|21|25|5|587|18.9|107|19.6
"Lebanon"|320|28.3|90|66|31.6|21|985|25.2|232|25.0
"Lesotho"|229|48.6|111|49|25.4|12|474|27.3|116|31.8
"Liberia"|647|86.7|561|175|62.1|109|748|58|333|63.9
"Libyan Arab Jamahiriya"|649|33.9|220|140|34.5|48|1647|29.9|451|29.5
"Lithuania"|148|23.8|35|31|24.2|7|893|17.9|154|18.3
"Luxembourg"|29|9.4|3|6|10.3|1|118|18.8|21|16.3
"Madagascar"|3149|68.3|2151|732|50.1|367|4442|45.6|1691|50.6
"Malawi"|2363|73.2|1730|567|47.3|268|2883|43.9|1017|51.9
"Malaysia"|2725|32.4|883|540|38.3|207|6670|30.1|1844|29.5
"Maldives"|47|81.5|38|10|55.4|6|82|49.6|35|56.8
"Mali"|2667|82.8|2208|698|73.4|513|3066|61|1444|64.8
"Malta"|20|16.3|3|4|26.1|1|96|15.6|14|15.0
"Marshall Islands"|8|30|2|1|38.1|1|17|24.1|4|26.9
"Mauritania"|539|68.2|368|131|52.7|69|745|50.4|310|52.8
"Mauritius"|98|16.8|16|20|37.5|7|344|14|45|14.7
"Mexico"|10726|29.4|3153|2099|26.2|550|30363|20.8|5879|22.2
"Micronesia (Federated States of)"|16|18.7|3|3|37.8|1|28|24.2|6|21.3
"Monaco"|2|5|0|0|6.3|0|8|13.3|1|10.0
"Mongolia"|270|21.4|58|57|37.3|21|787|13.6|99|16.0
"Morocco"|3408|31.5|1073|723|37.2|269|8839|32.6|2646|30.7
"Mozambique"|3325|74.7|2483|781|52.4|409|4843|48.2|1958|54.2
"Myanmar"|4586|63.2|2899|938|49.6|465|14248|44.9|5976|47.2
"Namibia"|265|40.5|107|55|30.6|17|499|35|156|34.2
"Nauru"|2|20|0|0|19.2|0|4|25.7|1|16.7
"Nepal"|3646|78|2844|793|74.6|591|6969|66.7|4120|66.2
"Netherlands"|962|8.7|84|178|12.5|22|3872|14.2|526|12.6
"New Zealand"|273|11.3|31|54|17.6|9|1022|10.2|99|10.3
"Nicaragua"|734|17|125|155|32.9|51|1447|9|116|12.5
"Niger"|2925|81.3|2377|793|65.5|520|3043|62.2|1398|63.5
"Nigeria"|22548|76.1|17159|5481|66.7|3656|30591|62|15568|62.1
"Niue"|0|21.6|0|0|31.7|0|0|11.9|0|"#DIV/0!"
"Norway"|280|6.4|18|54|9.3|5|1078|13.3|136|11.3
"Oman"|303|50.5|153|66|42.7|28|611|34|185|37.3
"Pakistan"|21339|50.9|10862|4890|39.1|1912|39205|27.9|9574|34.2
"Palau"|2|22.2|1|0|27.3|0|5|21.1|1|28.6
"Panama"|344|36|124|70|36.4|26|865|40.3|320|36.7
"Papua New Guinea"|810|59.8|485|172|55.2|95|1483|43.1|565|46.5
"Paraguay"|836|30.2|252|181|39.3|71|1580|26.2|367|26.6
"Peru"|2996|50.4|1510|632|42.7|270|7469|40.4|2762|40.9
"Philippines"|9839|36.3|3572|1997|43.9|877|21977|42.1|8412|38.0
"Poland"|1804|22.7|410|371|25.3|94|9975|18.7|1792|18.9
"Portugal"|559|12.7|71|109|17.3|19|2580|15|370|14.2
"Qatar"|69|26.2|18|15|29.1|4|165|36.2|54|30.5
"Republic of Korea"|2335|16.5|385|447|22.6|101|13219|14|1788|14.2
"Republic of Moldova"|206|40.6|83|44|36.5|16|1193|23.4|269|25.5
"Romania"|1046|39.8|416|206|30|62|5611|20.1|1085|22.8
"Russian Federation"|7384|26.5|1959|1580|20.8|329|39140|19.8|7448|20.2
"Rwanda"|1532|41.9|642|393|10.6|42|2335|59.4|1153|43.1
"Saint Kitts and Nevis"|4|22.9|1|1|25.6|0|12|20.8|2|17.6
"Saint Lucia"|15|32.2|5|3|33.4|1|45|25|10|25.4
"Saint Vincent and the Grenadines"|12|32.3|4|2|32.7|1|33|24.1|7|25.5
"Samoa"|25|35.5|9|5|33.4|2|42|19.7|7|25.0
"San Marino"|1|9.1|0|0|11.3|0|7|16.5|1|12.5
"Sao Tome and Principe"|23|36.7|9|5|40.4|2|41|26.2|9|29.0
"Saudi Arabia"|3225|33.1|1067|684|32|219|6031|32.3|1727|30.3
"Senegal"|1870|70.1|1310|432|57.6|249|2923|48.4|1206|52.9
"Serbia and Montenegrod"|603|29.5|178|118|33.6|40|2545|26.7|648|26.5
"Seychelles"|6|23.8|2|4|24.9|1|22|21.1|4|21.9
"Sierra Leone"|985|83.2|819|268|59.7|160|1315|62.9|658|63.7
"Singapore"|208|18.9|39|38|23.8|9|1160|18.4|207|18.1
"Slovakia"|253|23.4|59|51|25.2|13|1433|19.4|268|19.6
"Slovenia"|86|14|12|17|18.9|3|489|15.1|71|14.5
"Solomon Islands"|72|51.7|37|15|51.1|8|120|39.2|41|41.5
"Somalia"|1518|||382|||2000|||0.0
"South Africa"|5183|24.1|1249|1048|21.8|229|12675|26.4|3074|24.1
"Spain"|2262|12.9|292|463|17.6|82|11200|16.3|1751|15.3
"Sri Lanka"|1622|29.9|485|324|29.3|95|5665|31.6|1688|29.8
"Sudan"|5252|84.6|4443|1167|57.7|674|9083|43.5|3443|55.2
"Suriname"|45|25.7|12|9|32.4|3|121|20.4|23|21.7
"Swaziland"|134|46.7|63|29|24.3|7|263|36.5|85|36.4
"Sweden"|492|8.6|42|97|12.9|13|2036|13.3|257|11.9
"Switzerland"|346|6.3|22|65|9.7|6|1759|12.2|207|10.8
"Syrian Arab Republic"|2563|41|1050|545|39.3|214|5199|33.4|1555|33.9
"Tajikistan"|831|37.7|313|186|44.6|83|1739|41.2|640|37.6
"Thailand"|4992|25.2|1258|993|22.3|221|18156|17.8|3055|18.8
"The Former Yugoslav Republic of Macedonia"|116|25.8|30|23|31.8|7|530|12.2|62|14.8
"Timor Leste"|198|31.5|62|56|22.9|13|230|31.5|55|26.9
"Togo"|1030|52.4|540|242|50.2|121|1494|38.4|481|41.3
"Tonga"|12|27.6|3|2|34|1|24|21.5|5|23.7
"Trinidad and Tobago"|91|30.4|28|19|29.7|6|381|24.3|88|24.8
"Tunisia"|808|21.7|175|168|32.3|54|2939|26.3|729|24.5
"Turkey"|7195|32.6|2344|1486|40.2|597|20065|26.3|4885|27.2
"Turkmenistan"|491|35.8|176|109|29.9|33|1392|47.3|607|41.0
"Tuvalu"|1|34.2|0|0|33.1|0|3|26.3|1|25.0
"Uganda"|6210|64.1|3981|1616|41.2|666|6254|28.7|1331|42.5
"Ukraine"|1922|22.2|427|395|27.3|108|12180|9.2|1084|11.2
"United Arab Emirates"|346|27.7|96|74|27.9|21|922|43.9|372|36.4
"United Kingdom of Great Britain and Northern Ireland"|3339|8|267|654|15.2|100|14426|8.8|1212|8.6
"United Republic of Tanzania"|6079|71.8|4365|1414|58.2|823|9226|47.2|3687|53.1
"United States of America"|20568|3.1|638|4233|5.7|241|74273|6.9|4833|5.8
"Uruguay"|281|19.1|54|56|27.1|15|842|16.9|133|17.1
"Uzbekistan"|2861|38.1|1090|623|53.8|335|7476|64.8|4440|53.5
"Vanuatu"|30|59|18|6|57.3|4|53|54.1|25|52.8
"Venezuela"|2877|33.1|953|598|39.6|237|7221|28.3|1874|28.6
"Vietnam"|8002|34.1|2729|1642|32.2|529|24297|24.3|5505|25.8
"Yemen"|3762|68.3|2571|895|58.1|520|4895|51|2042|53.7
"Zambia"|2033|52.9|1075|482|46.9|226|2657|29.1|633|37.4
"Zimbabwe"|1750|19.3|338|384|18.8|72|3281||994|25.9
