"Country"|"hungerno"|"hungerprop"|"WFSTarget"|"MDGTarget"|"MDGReached"|"WFSReached"
"Algeria"|"ns"|4|1.1|4|"reached"|"on track"
"Egypt"|"ns"|4|1.2|2.1|"reached"|"no"
"Morocco"|"ns"|4|0.8|3.1|"reached"|"no"
"Tunisia"|"ns"|4|0|0.5|"reached"|"on track"
"Djibouti"|0.1|15.9|0.2|38.9|"reached"|"reached"
"Ethiopia"|31.6|32|19.4|38.9|"reached"|"no"
"Kenya"|9.9|21.2|4.1|16.8|"no"|"no"
"Madagascar"|8|33|1.7|14.2|"no"|"no"
"Malawi"|3.6|20.7|2.2|23.2|"reached"|"no"
"Mauritius"|"ns"|4|0|4.2|"reached"|"no"
"Mozambique"|6.9|25.3|4.1|29.2|"reached"|"no"
"Rwanda"|3.9|31.6|2|28.9|"on track"|"no"
"Sudan"|"NA"|"NA"|5.5|20.8||
"Uganda"|10.3|25.5|2.2|12.1|"no"|"no"
"United Republic of Tanzania"|16.8|32.1|3.3|12.6|"no"|"no"
"Zambia"|7.4|47.8|1.4|17.6|"no"|"no"
"Zimbabwe"|5|33.4|2.4|22.2|"no"|"no"
"Angola"|3.2|14.2|3.5|33|"reached"|"reached"
"Cameroon"|2.3|9.9|2.4|19.6|"reached"|"reached"
"Central African Republic"|2.3|47.7|0.7|24.6|"no"|"no"
"Chad"|4.7|34.4|1.9|30.7|"on track"|"no"
"Congo"|1.4|30.5|0.6|22.5|"no"|"no"
"Gabon"|"ns"|4|0.1|6.1|"reached"|"reached"
"Sao Tome and Principe"|0.005|6.6|0|11.9|"reached"|"reached"
"Botswana"|0.5|24.1|0.2|13.1|"no"|"no"
"Lesotho"|0.2|11.2|0.1|8.1|"no"|"no"
"Namibia"|1|42.3|0.3|18.6|"no"|"no"
"South Africa"|"ns"|4|0.9|2.5|"reached"|"on track"
"Swaziland"|0.3|26.8|0.1|8.3|"no"|"no"
"Benin"|0.8|7.5|0.8|14.6|"reached"|"no"
"Burkina Faso"|3.7|20.7|1.2|13.5|"no"|"no"
"Cabo Verde"|0.005|9.4|0|8.4|"on track"|"no"
"C̫te d'Ivoire"|2.8|13.3|0.7|5.6|"no"|"no"
"Gambia"|0.1|5.3|0.1|6.9|"reached"|"no"
"Ghana"|"ns"|4|3.7|24.6|"reached"|"reached"
"Guinea"|2|16.4|0.8|12|"no"|"no"
"Guinea-Bissau"|0.4|20.7|0.1|12|"no"|"no"
"Liberia"|1.4|31.9|0.3|15.1|"no"|"no"
"Mali"|"ns"|4|0.7|8.7|"reached"|"reached"
"Mauritania"|0.2|5.6|0.2|7.6|"reached"|"no"
"Niger"|1.8|9.5|1.2|14.4|"reached"|"no"
"Nigeria"|12.9|7|10.8|11.1|"reached"|"no"
"Senegal"|3.7|24.6|1|12.8|"no"|"no"
"Sierra Leone"|1.4|22.3|0.9|22.3|"on track"|"no"
"Togo"|0.8|11.4|0.8|19.7|"reached"|"on track"
"Armenia"|0.2|5.8|0.5|14.2|"reached"|"reached"
"Azerbaijan"|"ns"|4|0.9|12.3|"reached"|"reached"
"Georgia"|0.3|7.4|1.6|29.4|"reached"|"reached"
"Kazakhstan"|"ns"|4|0.2|1.5|"reached"|"no"
"Kyrgyzstan"|0.3|6|0.4|8.3|"reached"|"reached"
"Tajikistan"|2.9|33.2|0.8|14.6|"no"|"no"
"Turkmenistan"|"ns"|4|0.2|4.5|"reached"|"reached"
"Uzbekistan"|"ns"|4|0.4|1.7|"reached"|"no"
"China"|133.8|9.3|150.3|12.4|"reached"|"reached"
"Democratic People's Republic of Korea"|10.5|41.6|2.5|12.1|"no"|"no"
"Mongolia"|0.6|20.5|0.3|15.6|"no"|"no"
"Republic of Korea"|"ns"|4|0.5|1.1|"reached"|"reached"
"Afghanistan"|8.6|26.8|2|15.3|"no"|"no"
"Bangladesh"|26.3|16.4|18.7|17|"reached"|"no"
"India"|194.6|15.2|109.3|12.3|"no"|"no"
"Iran (Islamic Republic of)"|"ns"|4|1.5|2.6|"reached"|"no"
"Maldives"|0.005|5.2|0|6.3|"reached"|"on track"
"Nepal"|2.2|7.8|2.2|11.9|"reached"|"no"
"Pakistan"|41.4|22|14.9|13.1|"no"|"no"
"Sri Lanka"|4.7|22|2.8|15.9|"no"|"no"
"Brunei Darussalam"|"ns"|4|0|1.8|"reached"|"no"
"Cambodia"|2.2|14.2|1.6|16.7|"reached"|"no"
"Indonesia"|19.4|7.6|18.7|10.3|"reached"|"on track"
"Lao People's Democratic Republic"|1.3|18.5|1|22.3|"reached"|"no"
"Malaysia"|"ns"|4|0.5|2.6|"reached"|"no"
"Myanmar"|7.7|14.2|13.9|32.5|"reached"|"reached"
"Philippines"|13.7|13.5|8.7|13.7|"reached"|"no"
"Thailand"|5|7.4|10.3|18|"reached"|"reached"
"Timor-Leste"|0.3|26.9|0.2|23.5|"no"|"no"
"Viet Nam"|10.3|11|16.7|23.7|"reached"|"reached"
"Iraq"|8.1|22.8|0.7|4.1|"no"|"no"
"Jordan"|"ns"|4|0.1|2.8|"reached"|"no"
"Kuwait"|"ns"|4|0.4|20.5|"reached"|"reached"
"Lebanon"|"ns"|4|0|1.1|"reached"|"no"
"Oman"|"ns"|4|0.1|7.9|"reached"|"reached"
"Saudi Arabia"|"ns"|4|0.3|1.7|"reached"|"no"
"Turkey"|"ns"|4|0.2|0.3|"reached"|"reached"
"United Arab Emirates"|"ns"|4|0|1.1|"reached"|"no"
"Yemen"|6.7|26.1|1.9|15|"no"|"no"
"Barbados"|"ns"|4|0|1.2|"reached"|"no"
"Cuba"|"ns"|4|0.3|3|"reached"|"reached"
"Dominican Republic"|1.3|12.3|1.3|17.8|"reached"|"reached"
"Haiti"|5.7|53.4|2.3|31.8|"no"|"no"
"Jamaica"|0.2|8.1|0.1|5.4|"on track"|"no"
"Saint Vincent and the Grenadines"|0.005|6.2|0|10.8|"reached"|"reached"
"Trinidad and Tobago"|0.1|7.4|0.1|6.6|"on track"|"on track"
"Belize"|0.005|6.2|0|5|"no"|"no"
"Costa Rica"|"ns"|4|0.1|2.7|"reached"|"no"
"El Salvador"|0.8|12.4|0.5|8.4|"no"|"no"
"Guatemala"|2.5|15.6|0.7|7.7|"no"|"no"
"Honduras"|1|12.2|0.6|11.9|"on track"|"no"
"Mexico"|"ns"|4|3.1|3.6|"reached"|"no"
"Nicaragua"|1|16.6|1.2|28.3|"reached"|"reached"
"Panama"|0.4|9.5|0.3|13.7|"reached"|"on track"
"Argentina"|"ns"|4|0.4|1.2|"reached"|"reached"
"Bolivia (Plurinational State of)"|1.8|15.9|1.4|19.8|"reached"|"no"
"Brazil"|"ns"|4|11.7|7.7|"reached"|"reached"
"Chile"|"ns"|4|0.6|4.7|"reached"|"reached"
"Colombia"|4.4|8.8|2.6|7.6|"on track"|"no"
"Ecuador"|1.8|10.9|1|10.1|"on track"|"no"
"Guyana"|0.005|10.6|0.1|11.9|"reached"|"reached"
"Paraguay"|0.7|10.4|0.4|10.1|"on track"|"no"
"Peru"|2.3|7.5|3.6|16.4|"reached"|"reached"
"Suriname"|0.005|8|0|8.1|"reached"|"no"
"Uruguay"|"ns"|4|0.1|4.5|"reached"|"reached"
"Venezuela (Bolivarian Republic of)"|"ns"|4|1.5|7.3|"reached"|"reached"
"Fiji"|"ns"|4|0|3.4|"reached"|"no"
"Kiribati"|"ns"|4|0|3.9|"reached"|"no"
"Samoa"|"ns"|4|0|5.6|"reached"|"reached"
"Solomon Islands"|0.005|11.3|0|12.9|"reached"|"no"
"Vanuatu"|0.005|6.4|0|5.8|"no"|"no"
