"Country","Year","piped_on_premises","total_improved"
"Afghanistan","2012","9.7","29.0"
"Albania","2012","78.4","91.2"
"Algeria","2012","73.9","95.2"
"American Samoa","2012","92.3","62.5"
"Andorra","2012","100.0","100.0"
"Angola","2012","20.8","60.1"
"Anguilla","2012","","97.9"
"Antigua and Barbuda","2012","",""
"Argentina","2012","98.6","97.2"
"Armenia","2012","96.5","90.5"
"Aruba","2012","93.6","97.7"
"Australia","2012","","100.0"
"Austria","2012","100.0","100.0"
"Azerbaijan","2012","50.8","82.0"
"Bahamas","2012","95.1","92.0"
"Bahrain","2012","100.0","99.2"
"Bangladesh","2012","9.9","57.0"
"Barbados","2012","97.1",""
"Belarus","2012","87.8","94.3"
"Belgium","2012","100.0","100.0"
"Belize","2012","79.1","90.5"
"Benin","2012","16.4","14.3"
"Bermuda","2012","",""
"Bhutan","2012","56.4","46.9"
"Bolivia (Plurinational State of)","2012","83.0","46.4"
"Bosnia and Herzegovina","2012","87.6","95.4"
"Botswana","2012","70.2","64.3"
"Brazil","2012","92.1","81.3"
"British Virgin Islands","2012","","97.5"
"Brunei Darussalam","2012","",""
"Bulgaria","2012","97.3","100.0"
"Burkina Faso","2012","7.3","18.6"
"Burundi","2012","6.4","47.5"
"Cambodia","2012","17.8","36.8"
"Cameroon","2012","16.2","45.2"
"Canada","2012","","99.8"
"Cape Verde","2012","55.4","64.9"
"Cayman Islands","2012","87.3","96.2"
"Central African Republic","2012","1.6","21.5"
"Chad","2012","6.3","11.9"
"Channel Islands","2012","",""
"Chile","2012","98.8","98.9"
"China","2012","70.9","65.3"
"China, Hong Kong SAR","2012","",""
"China, Macao SAR","2012","",""
"Colombia","2012","87.3","80.2"
"Comoros","2012","",""
"Congo","2012","25.1","14.6"
"Cook Islands","2012","76.2","97.2"
"Costa Rica","2012","95.9","93.9"
"Côte d'Ivoire","2012","40.4","21.9"
"Croatia","2012","","98.2"
"Cuba","2012","76.7","92.6"
"Cyprus","2012","100.0","100.0"
"Czech Republic","2012","","100.0"
"Democratic People's Republic of Korea","2012","88.9","81.8"
"Democratic Republic of the Congo","2012","8.0","31.4"
"Denmark","2012","100.0","100.0"
"Djibouti","2012","63.3","61.4"
"Dominica","2012","",""
"Dominican Republic","2012","66.5","82.0"
"Ecuador","2012","85.0","83.1"
"Egypt","2012","96.1","95.9"
"El Salvador","2012","73.1","70.5"
"Equatorial Guinea","2012","",""
"Eritrea","2012","",""
"Estonia","2012","95.4","95.2"
"Ethiopia","2012","10.0","23.6"
"Faeroe Islands","2012","",""
"Falkland Islands (Malvinas)","2012","",""
"Fiji","2012","69.6","87.2"
"Finland","2012","99.4","100.0"
"France","2012","100.0","100.0"
"French Guiana","2012","79.3","90.4"
"French Polynesia","2012","97.5","97.1"
"Gabon","2012","61.0","41.4"
"Gambia","2012","32.3","60.2"
"Georgia","2012","79.8","93.3"
"Germany","2012","100.0","100.0"
"Ghana","2012","19.2","14.4"
"Greece","2012","99.5","98.6"
"Greenland","2012","100.0","100.0"
"Grenada","2012","","98.0"
"Guadeloupe","2012","98.9","96.9"
"Guam","2012","97.8","89.8"
"Guatemala","2012","85.6","80.3"
"Guinea","2012","13.0","18.9"
"Guinea-Bissau","2012","5.2","19.7"
"Guyana","2012","67.3","83.6"
"Haiti","2012","8.7","24.4"
"Honduras","2012","88.0","80.0"
"Hungary","2012","","100.0"
"Iceland","2012","100.0","100.0"
"India","2012","25.7","36.0"
"Indonesia","2012","20.6","58.8"
"Iran (Islamic Republic of)","2012","91.6","89.4"
"Iraq","2012","74.4","84.7"
"Ireland","2012","99.7","99.0"
"Isle of Man","2012","",""
"Israel","2012","100.0","100.0"
"Italy","2012","99.7",""
"Jamaica","2012","70.4","80.2"
"Japan","2012","98.4","100.0"
"Jordan","2012","90.7","98.1"
"Kazakhstan","2012","61.0","97.5"
"Kenya","2012","20.3","29.6"
"Kiribati","2012","34.5","39.7"
"Kuwait","2012","","100.0"
"Kyrgyzstan","2012","54.0","91.8"
"Lao People's Democratic Republic","2012","24.9","64.6"
"Latvia","2012","",""
"Lebanon","2012","",""
"Lesotho","2012","21.5","29.6"
"Liberia","2012","3.6","16.8"
"Libyan Arab Jamahiriya","2012","","96.6"
"Liechtenstein","2012","",""
"Lithuania","2012","91.7","94.3"
"Luxembourg","2012","99.7","100.0"
"Madagascar","2012","6.6","13.9"
"Malawi","2012","7.7","10.3"
"Malaysia","2012","","95.7"
"Maldives","2012","42.6","98.7"
"Mali","2012","13.9","21.9"
"Malta","2012","100.0","100.0"
"Marshall Islands","2012","2.9","76.2"
"Martinique","2012","","91.7"
"Mauritania","2012","23.1","26.7"
"Mauritius","2012","99.8","90.8"
"Mayotte","2012","",""
"Mexico","2012","90.9","85.3"
"Micronesia (Fed. States of)","2012","37.2","57.2"
"Monaco","2012","100.0","100.0"
"Mongolia","2012","23.6","56.2"
"Montenegro","2012","90.6","90.0"
"Montserrat","2012","96.0",""
"Morocco","2012","61.0","75.4"
"Mozambique","2012","8.4","21.0"
"Myanmar","2012","7.9","77.4"
"Namibia","2012","47.4","32.2"
"Nauru","2012","68.4","65.6"
"Nepal","2012","21.4","36.7"
"Netherlands","2012","100.0","100.0"
"Netherlands Antilles","2012","",""
"New Caledonia","2012","93.7","100.0"
"New Zealand","2012","100.0",""
"Nicaragua","2012","63.5","52.1"
"Niger","2012","7.9","9.0"
"Nigeria","2012","3.7","27.8"
"Niue","2012","97.8","100.0"
"Northern Mariana Islands","2012","84.1","79.7"
"Norway","2012","100.0","100.0"
"Oman","2012","72.6","96.6"
"Pakistan","2012","36.0","47.6"
"Palau","2012","","100.0"
"Panama","2012","92.1","73.2"
"Papua New Guinea","2012","9.2","18.7"
"Paraguay","2012","77.7","79.7"
"Peru","2012","81.9","73.1"
"Philippines","2012","42.8","74.3"
"Poland","2012","98.0",""
"Portugal","2012","99.8","100.0"
"Puerto Rico","2012","","99.3"
"Qatar","2012","","100.0"
"Republic of Korea","2012","93.4","100.0"
"Republic of Moldova","2012","55.1","86.7"
"Réunion","2012","99.1","98.2"
"Romania","2012","61.7",""
"Russian Federation","2012","82.1","70.5"
"Rwanda","2012","4.5","63.8"
"Saint Kitts and Nevis","2012","",""
"Saint Lucia","2012","82.2",""
"Saint Vincent and the Grenadines","2012","",""
"Samoa","2012","85.4","91.6"
"San Marino","2012","",""
"Sao Tome and Principe","2012","32.8","34.4"
"Saudi Arabia","2012","","100.0"
"Senegal","2012","45.9","51.9"
"Serbia","2012","86.0","97.3"
"Seychelles","2012","92.5","97.1"
"Sierra Leone","2012","5.2","13.0"
"Singapore","2012","100.0","100.0"
"Slovakia","2012","","99.7"
"Slovenia","2012","99.6","100.0"
"Solomon Islands","2012","25.5","28.8"
"Somalia","2012","",""
"South Africa","2012","79.2","74.4"
"South Sudan","2012","","8.9"
"Spain","2012","99.3","100.0"
"Sri Lanka","2012","29.5","92.3"
"Sudan","2012","24.2","23.6"
"Suriname","2012","67.1","80.3"
"Swaziland","2012","37.2","57.5"
"Sweden","2012","100.0","100.0"
"Switzerland","2012","99.7","100.0"
"Syrian Arab Republic","2012","86.7","95.7"
"Tajikistan","2012","43.1","94.4"
"TFYR Macedonia","2012","89.5","91.4"
"Thailand","2012","47.7","93.4"
"Timor-Leste","2012","23.6","38.9"
"Togo","2012","5.1","11.3"
"Tokelau","2012","","92.9"
"Tonga","2012","","91.3"
"Trinidad and Tobago","2012","","92.1"
"Tunisia","2012","","90.4"
"Turkey","2012","98.5","91.2"
"Turkmenistan","2012","45.3","99.1"
"Turks and Caicos Islands","2012","",""
"Tuvalu","2012","96.8","83.3"
"Uganda","2012","4.8","33.9"
"Ukraine","2012","66.4","94.3"
"United Arab Emirates","2012","","97.5"
"United Kingdom","2012","99.6","100.0"
"United Republic of Tanzania","2012","9.3","12.2"
"United States of America","2012","98.6","100.0"
"United States Virgin Islands","2012","48.9","96.4"
"Uruguay","2012","99.5","96.4"
"Uzbekistan","2012","47.4","100.0"
"Vanuatu","2012","25.3","57.9"
"Venezuela (Bolivarian Republic of)","2012","",""
"Viet Nam","2012","25.7","75.0"
"West Bank and Gaza","2012","73.7","94.3"
"Western Sahara","2012","",""
"Yemen","2012","40.4","53.3"
"Zambia","2012","15.2","42.8"
"Zimbabwe","2012","34.1","39.9"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
